seg	po	class	log intensity
10	43	Isoflavone O-glycosides	4.831293744
10	45	Isoflavone O-glycosides	5.019822224
10	47	Phenolic glycosides	4.022345876
10	49	Prenylated chalcones	4.261334254
10	51	Prenylated chalcones	4.216614486
10	53	Prenylated flavanones	4.791501174
10	55	Prenylated flavanones	3.941312625
10	57	Prenylated isoflavones	3.916559219
10	59	Prenylated stilbenes	5.362201525
10	61	Prenylated stilbenes	4.084612021
10	63	Triterpene saponins	4.015820634
10	65	Triterpene saponins	4.194542091
10	67	Triterpene saponins	4.032417279
10	69	Triterpene saponins	4.181614952
11	1	Amino acids	4.695105008
11	3	Amino acids	4.548647338
11	5	Amino acids	4.202597286
11	7	Amino acids	3.931762888
11	9	Caffeic acid and derivatives	4.170730969
11	11	Caffeic acid and derivatives	3.969509099
11	13	Fatty acyl hexosides	4.196590654
11	15	Fatty acyl hexosides	3.969415912
11	17	Fatty acyl hexosides	4.364307047
11	19	Ferulic acid and derivatives	3.915399835
11	21	Ferulic acid and derivatives	3.99550357
11	23	Ferulic acid and derivatives	4.158181498
11	25	Ferulic acid and derivatives	4.405295123
11	27	Flavonol O-glycosides	4.881150611
11	29	Flavonol O-glycosides	3.97183228
11	31	Lipids	4.509054595
11	33	Lipids	5.08056877
11	35	Lipids	4.639904645
11	37	Lipids	4.030275803
11	39	Lipids	4.331326051
11	41	Lipids	4.555360509
11	43	N-Fructosyl amino acids	4.270445908
11	45	N-Fructosyl amino acids	4.100990523
11	47	Organic acids	4.854621778
11	49	Steroidal saponins	4.58683476
11	51	Steroidal saponins	4.684279693
11	53	Steroidal saponins	5.091068732
11	55	Steroidal saponins	5.412507586
11	57	Steroidal saponins	4.300877966
12	1	Alkyl benzyl hexosides	4.274711914
12	3	Amino acids	4.239199342
12	5	Caffeic acid and derivatives	4.521399628
12	7	Caffeic acid and derivatives	4.622980358
12	9	Caffeic acid and derivatives	4.267101297
12	11	Coumaric acid and derivatives	3.914713287
12	13	Flavonol O-glycosides	4.759161502
12	15	Lipids	4.024157154
12	17	Lipids	4.55929603
12	19	Quinic acid and derivatives	4.108734109
12	21	Steroidal saponins	4.887313413
12	23	Steroidal saponins	4.601745014
12	25	Steroidal saponins	5.126329507
12	27	Steroidal saponins	4.14113609
12	29	Steroidal saponins	5.78978653
12	31	Steroidal saponins	5.348628029
12	33	Steroidal saponins	4.127104798
